dataset_id,sampling_strategy,n_cells,usable_clones,clone_coverage_ratio,teacher_backend,native_moscot_success,best_model,best_model_tier,best_model_effect,condensation_only_tier,uncertainty_plus_teacher_bias_tier
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,1000,42,0.030346820809248554,native_moscot,True,condensation_only,fail,0.10736181040576614,fail,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_stratified_native,1000,500,0.36127167630057805,native_moscot,True,condensation_only,fail,,fail,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1000,250,0.18063583815028902,native_moscot,True,condensation_only,fail,0.021143934746991562,fail,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_fate_balanced_native,1000,59,0.04263005780346821,native_moscot,True,post_divergence_only,acceptable,0.23654116832356173,fail,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,max_feasible_native,1300,325,0.23482658959537572,native_moscot,True,post_divergence_only,fail,0.023777132219366087,fail,fail
Weinreb_2020_Science,cell_random_native,1500,95,0.0244782272610152,native_moscot,True,post_divergence_only,acceptable,0.3797084994937676,fail,fail
Weinreb_2020_Science,clone_stratified_native,1500,500,0.12883277505797475,native_moscot,True,condensation_only,fail,,fail,fail
Weinreb_2020_Science,clone_time_balanced_native,1500,258,0.06647771192991497,native_moscot,True,condensation_only,acceptable,0.1329270932596212,acceptable,fail
Weinreb_2020_Science,clone_fate_balanced_native,1500,181,0.04663746457098686,native_moscot,True,fate_entropy_only,fail,0.10865828026513755,fail,fail
Weinreb_2020_Science,max_feasible_native,1950,337,0.08683329038907497,native_moscot,True,condensation_only,acceptable,0.1723779822288688,acceptable,fail
