permutation,entropy_coef_null
0,0.00011442153977983625
1,2.552534194177891e-06
2,9.562317512414476e-05
3,7.487403762854086e-05
4,0.00013111430484415848
5,-0.00017699858860395663
6,-3.5060830818191974e-05
7,-9.941025830995358e-05
8,0.00010180641022279526
9,8.168091546714544e-05
10,0.0001987769338800292
11,0.00019552542216558048
12,7.584866905587483e-05
13,-0.00030731410196678955
14,-0.00011979162938003263
15,6.048987080552355e-05
16,-0.00011589129959656882
17,3.7735013101575926e-05
18,0.00016814442466759564
19,-0.00013932863603534438
20,-0.00016228266051630455
21,-5.059390799204248e-05
22,-0.00026845950181403865
23,3.446055260980085e-05
24,7.819667653553158e-06
25,4.4307866514187166e-05
26,-0.0001916669217454257
27,-8.88595581408913e-05
28,-3.028778832002508e-05
29,-0.00011057810395517613
30,0.00010206475719126001
31,0.00016009573988420758
32,-0.00016697803347017186
33,0.00015533240398615377
34,6.927227723975068e-05
35,0.00010133586909989549
36,-9.31767154151086e-05
37,1.3446117391625358e-05
38,-2.5209320194965155e-05
39,0.00029073344154016516
40,-7.238424468673961e-05
41,-9.732382796860325e-06
42,0.00011025971851956213
43,0.0001129545952267292
44,0.00036558164814304815
45,4.9101302958728596e-05
46,-9.278005473609043e-05
47,2.891806161256852e-05
48,-0.00021786399430161023
49,5.123937815506782e-06
50,0.00011273522134247916
51,4.168206693661025e-06
52,5.6807851086524905e-05
53,0.0001549692488568245
54,-0.00010400690621810253
55,1.5322073479248632e-05
56,-2.736777767075975e-05
57,-9.370878804520165e-05
58,-2.0264987766738934e-05
59,-4.444377306713713e-05
60,8.57907074577717e-06
61,-6.283170718590376e-05
62,-2.8866040828238147e-05
63,-0.00011745786979534736
64,-0.00026083650357645004
65,3.1328114400467136e-05
66,-0.00016956024324574735
67,-3.6177771046285064e-05
68,-6.956047528278858e-06
69,-0.00021161493226829267
70,-4.581732618535745e-05
71,9.606808852763958e-06
72,-2.3293644402496393e-05
73,-0.00035786310014147404
74,-1.1711576086136447e-05
75,-4.451399345020528e-06
76,-0.00016954281656215552
77,-0.00014209330346958132
78,-7.542325092234434e-05
79,6.569491306454133e-05
80,8.72388952353172e-05
81,0.00011442567243910746
82,3.257540118600799e-05
83,-5.1922236262698027e-05
84,0.00019756048490039615
85,-0.0002241219974458133
86,-2.687925983366462e-05
87,-4.811749176438212e-05
88,8.863233366815382e-05
89,0.00021772150100053244
90,-0.00011137348005561473
91,6.803340648242184e-05
92,-0.00010480463593475885
93,5.930420322204557e-05
94,8.117051676180889e-05
95,0.00011383040500826357
96,9.563901642075691e-05
97,0.0001699022438477471
98,-4.4802766687748914e-05
99,-0.00022507014190012355
