control,permutation,effect_null
shuffled_temporal_order,0,0.0
shuffled_temporal_order,1,0.8283041086576313
shuffled_temporal_order,2,-0.5190328654218033
shuffled_temporal_order,3,-0.08174195321735578
shuffled_temporal_order,4,1.7177079202519123
shuffled_temporal_order,5,-1.165647880282356
shuffled_temporal_order,6,0.0
shuffled_temporal_order,7,1.088873883531281
shuffled_temporal_order,8,-0.5520600399695563
shuffled_temporal_order,9,0.25560181840736884
shuffled_temporal_order,10,0.564873061643197
shuffled_temporal_order,11,0.0
shuffled_temporal_order,12,-1.088873883531281
shuffled_temporal_order,13,0.564873061643197
shuffled_temporal_order,14,0.0
shuffled_temporal_order,15,-0.12923154527407676
shuffled_temporal_order,16,0.7093514842707443
shuffled_temporal_order,17,0.0
shuffled_temporal_order,18,-0.1407223424667241
shuffled_temporal_order,19,0.0
shuffled_temporal_order,20,1.8200921237499743
shuffled_temporal_order,21,-0.2927154517087883
shuffled_temporal_order,22,0.59546385421825
shuffled_temporal_order,23,0.8832113494607575
shuffled_temporal_order,24,0.46126435247789244
shuffled_temporal_order,25,0.8729324285735677
shuffled_temporal_order,26,-0.23780821090566218
shuffled_temporal_order,27,1.1272120224999431
shuffled_temporal_order,28,0.6276095310533887
shuffled_temporal_order,29,0.0
shuffled_temporal_order,30,0.8385830295448213
shuffled_temporal_order,31,1.5388800985956184
shuffled_temporal_order,32,1.0839059270650002
shuffled_temporal_order,33,-0.5904958977519692
shuffled_temporal_order,34,-0.26962350914795785
shuffled_temporal_order,35,1.1425559377215255
shuffled_temporal_order,36,0.0
shuffled_temporal_order,37,-0.25560181840736884
shuffled_temporal_order,38,0.7246953994923268
shuffled_temporal_order,39,0.21097349849143254
shuffled_temporal_order,40,-0.41663603256195614
shuffled_temporal_order,41,-1.2181054288053579
shuffled_temporal_order,42,1.5388800985956184
shuffled_temporal_order,43,0.0
shuffled_temporal_order,44,0.5751519825303868
shuffled_temporal_order,45,-0.17882782165629396
shuffled_temporal_order,46,0.7043835278044636
shuffled_temporal_order,47,0.41166807609567524
shuffled_temporal_order,48,0.0
shuffled_temporal_order,49,-0.8729324285735677
shuffled_temporal_order,50,1.088873883531281
shuffled_temporal_order,51,1.2998473820227137
shuffled_temporal_order,52,-0.44878170939709483
shuffled_temporal_order,53,0.11388763005249436
shuffled_temporal_order,54,0.0
shuffled_temporal_order,55,-0.41166807609567524
shuffled_temporal_order,56,0.2824365308215985
shuffled_temporal_order,57,0.4344296400636628
shuffled_temporal_order,58,0.8129601934360491
shuffled_temporal_order,59,0.6990725633835546
shuffled_temporal_order,60,-0.05865001065652531
shuffled_temporal_order,61,-0.26962350914795785
shuffled_temporal_order,62,1.0454700692825873
shuffled_temporal_order,63,-1.2627337487212942
shuffled_temporal_order,64,0.9546743817909235
shuffled_temporal_order,65,0.4983779857793118
shuffled_temporal_order,66,1.3650202334056052
shuffled_temporal_order,67,-0.7693237194082632
shuffled_temporal_order,68,0.31955016412301795
shuffled_temporal_order,69,0.0
shuffled_temporal_order,70,0.7693237194082632
shuffled_temporal_order,71,0.33489407934460025
shuffled_temporal_order,72,-0.1853506623826603
shuffled_temporal_order,73,0.21097349849143254
shuffled_temporal_order,74,0.23780821090566218
shuffled_temporal_order,75,1.9555161311575744
shuffled_temporal_order,76,0.0
shuffled_temporal_order,77,-0.9917880150923428
shuffled_temporal_order,78,0.09708586843893818
shuffled_temporal_order,79,0.0
shuffled_temporal_order,80,-0.5520600399695563
shuffled_temporal_order,81,-0.9356688979837593
shuffled_temporal_order,82,-0.8283041086576313
shuffled_temporal_order,83,1.1425559377215255
shuffled_temporal_order,84,0.0
shuffled_temporal_order,85,-0.6990725633835546
shuffled_temporal_order,86,0.0
shuffled_temporal_order,87,0.0
shuffled_temporal_order,88,0.7693237194082632
shuffled_temporal_order,89,0.0
shuffled_temporal_order,90,-0.493410029313031
shuffled_temporal_order,91,0.0
shuffled_temporal_order,92,1.12101956036642
shuffled_temporal_order,93,-0.26056977487364974
shuffled_temporal_order,94,0.9917880150923428
shuffled_temporal_order,95,-0.4868871885866647
shuffled_temporal_order,96,0.39632416087409283
shuffled_temporal_order,97,-0.39632416087409283
shuffled_temporal_order,98,0.0
shuffled_temporal_order,99,-1.12101956036642
