response,predictor,coef,abs_coef,r2,n,analysis_mode
learned_sigma,ot_transition_entropy,0.026560675005300762,0.026560675005300762,0.9772121991995961,40000,standard
learned_sigma,local_density,0.0005853096439342323,0.0005853096439342323,0.9772121991995961,40000,standard
learned_sigma,fate_probability_max,-0.0037698881160536067,0.0037698881160536067,0.9772121991995961,40000,standard
learned_sigma,fate_entropy,-0.0005354259171193657,0.0005354259171193657,0.9772121991995961,40000,standard
learned_sigma,cell_cycle_score,0.0,0.0,0.9772121991995961,40000,standard
learned_sigma,cci_signal,-3.222860725163052e-05,3.222860725163052e-05,0.9772121991995961,40000,standard
learned_sigma,local_density,0.012832643120594775,0.012832643120594775,0.3322786970125,40000,no_entropy_input_proxy
learned_sigma,fate_probability_max,0.07069114316775355,0.07069114316775355,0.3322786970125,40000,no_entropy_input_proxy
learned_sigma,fate_entropy,0.08200497628780522,0.08200497628780522,0.3322786970125,40000,no_entropy_input_proxy
learned_sigma,cell_cycle_score,0.0,0.0,0.3322786970125,40000,no_entropy_input_proxy
learned_sigma,cci_signal,-0.00019236361154775783,0.00019236361154775783,0.3322786970125,40000,no_entropy_input_proxy
learned_displacement,ot_transition_entropy,0.9462499010235734,0.9462499010235734,0.38138410457451255,40000,empirical_displacement_proxy
learned_displacement,local_density,-0.4414773658086597,0.4414773658086597,0.38138410457451255,40000,empirical_displacement_proxy
learned_displacement,fate_probability_max,1.7069988189882945,1.7069988189882945,0.38138410457451255,40000,empirical_displacement_proxy
learned_displacement,fate_entropy,1.9922393085819148,1.9922393085819148,0.38138410457451255,40000,empirical_displacement_proxy
learned_displacement,cell_cycle_score,0.0,0.0,0.38138410457451255,40000,empirical_displacement_proxy
learned_displacement,cci_signal,0.25105968890962826,0.25105968890962826,0.38138410457451255,40000,empirical_displacement_proxy
